texto_es, texto_en, polaridad
sr gerente está igual o peor que su antecesor a castro dedicado a lo que sea menos a trabajar ya déjese de esas prácticas políticas,Mr Manager is equal to or worse than his predecessor to Castro dedicated to whatever is less to work and leave those political practices,negativo
trabajamos para brindar un mejor servicio. desde el 2 de septiembre se pone en marcha el registro municipal obligatorio en línea.,We work to provide a better service From September 2 the mandatory online municipal registry is launched,positivo
siempre he creído que nuestra ave nacional debería ser el colibrí. pero cuando veo volando a estos monstruos... realmente son magníficos. gracias por compartir,I have always believed that our national bird should be the hummingbird but when I see these monsters flying  they really are magnificent thanks for sharing,positivo
este vehículo prefiere hacer doble fila y tapar 2 parques momentáneos en lugar de estacionarse bien es el la vargas machuca plazoleta rotary,this vehicle prefers to double row and cover 2 momentary parks instead of parking well it is the varuca machuca rotary square,neutral
varias semanas con este reclamo favor su ayuda,several weeks with this claim please help,neutral
hermosa ciudad que crece con compromiso sigan adelante que los resultados son evidentes 98sobre100,Beautiful city that grows with commitment keep going that the results are obvious  98sobre100,positivo
valle de los chillos y valle de yunguilla en este momento estacionados dos vehículos sobre la vereda recién reconstruida . se les pide que no lo hagan y la respuesta es grosera. es de todos los días,Valle de los Chillos and Yunguilla Valley are currently parked two vehicles on the newly reconstructed sidewalk They are asked not to do so and the answer is rude it is everyday,negativo
realmente no veo razón de ser de una "marcha de respaldo" tampoco creo q haya resultados de la asamblea ciudadana... nose si fueron los últimos gobernantes los q agotaron en el pueblo la credibilidad o realmente es como es: sin 100 días sin resultados,I really do not see the reason for a support march I do not believe that there are results of the citizen assembly  I do not know if it was the last rulers that exhausted credibility in the town or it really is as it is without 100 days without results,negativo
una muy buena y acertada campaña 👍👍,una muy buena y acertada campaa ,neutral
cuenca: el hace una cordial invitación a la ciudadanía en general a participar del informe que dará el alcalde por los 100 primeros días de gestión 👇🏻,cuenca el hace una cordial invitacin a la ciudadana en general a participar del informe que dar el alcalde por los 100 primeros das de gestin ,positivo
cuenca: colonias vacacionales mantenimiento vial en la gran minga por cuenca vehículos y motocicletas para su seguridad son solo parte de la gestión en estos 100 días 100 realidades 98sobre100,basin holiday colonies road maintenance in the great minga by basin vehicles and motorcycles for your safety are only part of the management in these 100 days 100 realities  98sobre100,positivo
😂😂😂😂 te convertiste en lo q criticabas y molestabas como cambia. las cosas verdad y tu 100 dias no veo nada de avences ni los huecos debla ciudad has bacheado... 100 dias a vaca diria yo, te convertiste en lo q criticabas y molestabas como cambia las cosas verdad y tu 100 dias no veo nada de avences ni los huecos debla ciudad has bacheado 100 dias a vaca diria yo,neutral
majestuoso con estos videos se ratifica cuan hermosa y maravillosa es nuestra tierra. gracias por hacer partícipes del deleite.,majestic with these videos it is ratified how beautiful and wonderful our land is Thank you for participating in the delight,positivo
97/100 más obras y los ciudadanos los saben cumplir con los ejes que la ciudad lo requiere movilidad trabajo transporte vialidad y sanidad vamos con todo,97100 more works and citizens know how to comply with the axes that the city requires mobility work transport road and health we go with everything,positivo
ojalá pronto revise los cobros indebidos en la revisión vehicular que realiza la que haga algo la,hopefully soon check the improper charges in the vehicle review that makes the do something,neutral
fomentamos el uso de medios de transporte no motorizados. compartimos con los niños de la comunidad san pedro perteneciente a victoria del portete. muéveteenbici biciescuela,We encourage the use of nonmotorized means of transport We share with the children of the San Pedro community belonging to Victoria del Portete  muveteenbici biker school,neutral
98sobre100 los primeros 100 días de gestión exitosa de nuestro alcalde, 98over100 the first 100 days of successful management of our mayor,positivo
señor alcalde cuando me recive en su despacho ....quisiera abordar un tema con usted,Mr Mayor when you receive me in your office  I would like to discuss a topic with you,neutral
dgrinforma👇🏻 reporte de vías ⚠ fecha: 20/08/2019 hora de corte: 11h30 fuente:,dgrinforma reporte de vas  fecha 20082019 hora de corte 11h30 fuente,neutral
esa es la verdadera participacion ciudadana 98sobre100,That is the true citizen participation  98sobre100,positivo
artesanos del país exigen a la junta electoral convocatoria a elecciones ciudadanía opina gestión del alcalde en sus 100 primero días frente del esta y otras noticias en la día a las 13h30,artisans of the country demand the election board call for elections citizens think the mayors management in its first 100 days in front of the east and other news in the day at 130 pm,positivo
y se rodeará de un montón de aduladores cuidado. amigodatecuenta,and be surrounded by a lot of flatterers beware amigodatecuenta,neutral
señor alcalde ud haga lo q tiene q hacer como administador q esno haga caso los ambiciosos políticos q le rodearon luego de elecciones. no caiga en estas cosas que lo vuelven un politiquero figureti mas. a quien le recomendó hacer esta marcha despídalo.,Mr Mayor do what you have to do as an administrator that is ignore the ambitious politicians who surrounded you after elections Do not fall for these things that make you a politician figureti more who recommended doing this march say goodbye,positivo
se debe tomar medidas ya sobre la inseguridad como lo está haciendo cynthia viteri como lo esta haciendo por guayaquil pero no esto no es importante para la ciudad,Measures must already be taken on insecurity as Cynthia Viteri is doing as she is doing for Guayaquil but this is not important for the city,negativo
apoyo total 100 realidades en 100 días nos demuestra que cosas grandes están por venir cuencaunida 97sobre100,Total support 100 realities in 100 days shows us that great things are yet to come cuencaunida  97sobre100,positivo
cien días de mucho trabajo y buenos resultados. vamos por más cuencaunida 98sobre100,One hundred days of hard work and good results Lets go for more cuencaunida  98sobre100,positivo
le cuento que la gente ya está organizandose para la revocatoria de su mandato y la de su hermano hugo que tiene aires de jefe,I tell him that people are already organizing for the revocation of his mandate and that of his brother Hugo who has the air of boss,neutral
cuencaunida para trabajar por la seguridad y bienestar de los ciudadanos. son cien días cien realidades y esto es el comienzo de nuestra gestión. 98sobre100,cuencaunida to work for the safety and welfare of citizens Its a hundred days a hundred realities and this is the beginning of our management  98sobre100,neutral
el trabajo inicia 98sobre100,The work starts  98sobre100,neutral
que pleno done están,how full are they,positivo
98sobre100 👏👏 cuencaunida en beneficio de los cuencanos y cuencanos. es el inicio de una gran gestión.,98sobre100  cuencaunida en beneficio de los cuencanos y cuencanos es el inicio de una gran gestin,neutral
es solo el comienzo de una buena gestión. cuencaunida en todos los ámbitos. 98sobre100,It is only the beginning of good management cuencaunida in all areas  98sobre100,positivo
los ñutos son clave importante para las autoridades eso habla bien de ello que sigan así mismo con una cuencaunida 98sobre100,The utos are important key for the authorities that speaks well of it that they follow likewise with a cuencaunida  98sobre100,positivo
más y más obras para esta bella ciudad cuencaunida 98sobre100,more and more works for this beautiful city cuencaunida  98sobre100,positivo
los niños disfrutaron de colonias vacacionales seguras cien días cien realidades. 98sobre100,The children enjoyed safe holiday colonies one hundred days one hundred realities  98sobre100,positivo
trabajamos por y para 98sobre100 cuencaunida,We work for and for  98sobre100 cuencaunida,neutral
comparto opinión de la gestión de 98sobre100 en cuenca prueba de que lo políticamente correcto no es el camino vía,I share management opinion of  98sobre100 in cuenca proof that the politically correct is not the way via,neutral
cuenca: se llevó a cabo el lanzamiento de la campaña voyalaruta el objetivo es reactivar la actividad comercial a lo largo de la ruta tranviaria.,basin the launch of the voyalaruta campaign was carried out the objective is to reactivate the commercial activity along the tramway route,neutral
y el tranvía para cuando estará operativo???,and the tram for when will it be operational ,neutral
espacios para niños y adultos operativos de seguridad mantenimiento vial y mucho más. 98sobre100,spaces for children and adults safety operations road maintenance and much more  98sobre100,positivo
hagan funcionar el.trencito y verán como se reactiva solita la via tranviaria que dicen,Run the little train and you will see how the tramway is reactivated by itself,negativo
carolina ormaza dir. informa sobre el cobro de cuatro millones ochocientos mil dólares por concepto de multas a la empresa actn por el tetrazo en la obra por medio del acta de impedimento de mediación.,Carolina Ormaza Dir reports on the collection of four million eight hundred thousand dollars for fines to the company acting for the tetrazo in the work through the act of impeding mediation,neutral
colonias vacacionales mantenimiento vial en la gran minga por cuenca vehículos y motocicletas para su seguridad son solo parte de la gestión en estos cien días cien realidades 98sobre100,Holiday colonies road maintenance in the Great Minga by basin vehicles and motorcycles for your safety are only part of the management in these one hundred days one hundred realities  98sobre100,positivo
colonias vacacionales mantenimiento vial en la gran minga por cuenca vehículos y motocicletas para su seguridad son solo parte de la gestión en estos cien días cien realidades 98sobre100,Holiday colonies road maintenance in the Great Minga by basin vehicles and motorcycles for your safety are only part of the management in these one hundred days one hundred realities  98sobre100,positivo
juntos fomentamos el desarrollo de nuestra ciudad. 98sobre100,Together we encourage the development of our city  98sobre100,neutral
estimado señor alcalde hace varios meses he enviado al correo que me prporcionaron la propuesta de abrir un centro de mediación municipal y hasta ahora no tengo respuesta. por favor necesito audiencia con usted para hablar de este tema super importante para los ciudadanos.,Dear Mayor several months ago I sent the mail that the proposal to open a municipal mediation center provided me and so far I have no answer Please I need an audience with you to talk about this super important issue for citizens,positivo
cuenca: construcción de la matriz de alcantarillado en las 5 esquinas de,basin construction of the sewage matrix in the 5 corners of,neutral
un cambio altamente positivo vamos por más días así 98sobre100,a highly positive change Lets go for more days like this  98sobre100,positivo
¡mejoramos tu movilidad 🚧👷🏻‍♀️👷🏻‍♂️ 30 % de avance tiene la reconstrucción de veredas en la calle los fresnos entre amancay y arirumba lateral norte.,mejoramos tu movilidad  30  de avance tiene la reconstruccin de veredas en la calle los fresnos entre amancay y arirumba lateral norte,neutral
100 realidades demostradas en beneficio de toda la ciudadanía. 98sobre100,100 realities demonstrated for the benefit of all citizens  98sobre100,neutral
muy bien sr alcalde. felicitaciones 98sobre100,Very good Mr Mayor congratulations  98sobre100,positivo
los directivos del consejo barrial de quinta chica nos reunimos con el ing. alvarez director de mercados para promocionar los servicios de la plataforma itinerante de nuestros comerciantes. gracias.,the directors of the neighborhood council of fifth girl we met with ing Alvarez Market Director to promote the services of the itinerant platform of our merchants Thank you,neutral
esta campaña contará con el apoyo de toda la corporación municipal para así lograr una mayor difusión y alcanzar el objetivo de promocionar de mejor manera los comercios ubicados a lo largo de la ruta tranviaria.,This campaign will be supported by the entire municipal corporation in order to achieve greater dissemination and achieve the objective of better promoting businesses located along the tram route,positivo
cuencaunida 98sobre100 trabajo y compromiso de nuestro alcalde,cuencaunida 98sobre100 work and commitment of our mayor,neutral
reunión de coordinación | en este momento junto a mantenemos la reunión semanal del equipo operativo interinstitucional.,coordination meeting  At this time together with we hold the weekly meeting of the interinstitutional operational team,neutral
dónde podemos consultar datos al respecto ? y cómo se mide la gestión ?,Where can we consult data about it and how is management measured,neutral
con la presencia del alcalde se llevó a cabo en la galería de la presentación de la campaña comunicacional "voy a la ruta" con el objetivo de reactivar el comercio en la ruta tranviaria.,with the presence of the mayor was carried out in the gallery of the presentation of the communication campaign I am going to the route with the aim of reviving trade on the tram route,neutral
gracias a usted alcalde,thank you mayor,neutral
98/100 a continuar con el trabajo esto es solo el comienzo, 98100 to continue the work this is just the beginning,neutral
este momento se lleva a cabo el lanzamiento de la campaña voyalaruta que busca reactivar la actividad comercial a lo largo de la senda tranviaria.,This moment the launch of the voyalaruta campaign that seeks to reactivate commercial activity along the tramway is carried out,neutral
pedro palacios mide sus primeros 100 días como con 100 acciones. en este artículo un chequeo rápido de las que fueron iniciativa de esta administración y las que fueron heredadas:,Pedro Palacios measures his first 100 days as with 100 actions In this article a quick check of those that were the initiative of this administration and those that were inherited,positivo
una linda orgulloso de esta hermosa ciudad. 98sobre100,A beautiful proud of this beautiful city  98sobre100,positivo
compromiso reflejado en estos 100 días cada día más saludable y ordenada,commitment reflected in these 100 days every day healthier and tidier,neutral
100 razones para reconocer que va por buen camino y más unida que nunca 💪,100 razones para reconocer que va por buen camino y ms unida que nunca ,neutral
vamos x más más obras más realidades más trabajo para tener una cuencaunida 98sobre100,Lets go for more More works more realities more work to have a cuencaunida  98sobre100,positivo
el trabajo y el cambio se ven 98sobre100 la alcaldía de cambio.,Work and change look  98 on 100 the mayors office of change,neutral
cuando sabe que está haciendo la cagada el mismo cuando auto convoca a una marcha en apoyo aquí inicia la payasada 100dias no seas caretuco como tú pana el,when he knows that he is doing the same thing when he summons a march in support here he starts the clown  100days dont be careless like you are,negativo
98sobre100 obras a favor de la comunidad cuencana. cuencaunida, 98sobre100 works in favor of the Cuenca community cuencaunida,neutral
una administración que ha demostrado transparencia en todo aspecto y que ha hecho obras en beneficio a todos los cuencanos 🎉,una administracin que ha demostrado transparencia en todo aspecto y que ha hecho obras en beneficio a todos los cuencanos ,neutral
98sobre100 trabajando por una ciudad mejor, 98sobre100 working for a better city,positivo
gran gestión sigan adelante con campañas que mantengan prevenidos a los niños y niñas de nuestra ciudad 98sobre100,Great management keep going with campaigns that keep the children of our city prevented  98sobre100,positivo
que bien alcalde me alegro de todo el trabajo que ha echo en nuestra ciudad,What a good mayor Im glad of all the work you have done in our city,positivo
¡buenas noticias 🚧👷🏻‍♀️👷🏻‍♂️ trabajamos en el recapeo asfáltico de la calle miguel de santiago labores que se cumplen por administración directa del 98sobre100,buenas noticias  trabajamos en el recapeo asfltico de la calle miguel de santiago labores que se cumplen por administracin directa del 98sobre100,neutral
100 días 100 realidades como la campaña vacacionesmásseguras en beneficio de la seguridad de nuestros niños niñas y adolescentes del cantón. 98sobre100,100 days 100 realities such as the safety holiday campaign for the safety of our children and adolescents in the canton  98sobre100,neutral
obras que hablan por sí solas una administración que en 💯 días ha cambiado 💯 realidades 🤩. cuencaunida 98sobre100,obras que hablan por s solas una administracin que en  das ha cambiado  realidades  cuencaunida 98sobre100,neutral
los primeros 100 días de la mejor gestión cuencaunida 98sobre100,the first 100 days of the best management cuencaunida  98sobre100,positivo
cien días de mucho trabajo y buenos resultados. vamos por más cuencaunida 98sobre100,One hundred days of hard work and good results Lets go for more cuencaunida  98sobre100,positivo
cuencaunida por nuestros pequeños 👧👦 98sobre100,cuencaunida por nuestros pequeos  98sobre100,neutral
planificación y gestión para una cuencaunida 98sobre100,Planning and management for a cuencaunida  98sobre100,neutral
que bien que muestren a la ciudadanía la labor que se han hecho estos días muy buen trabajo 98sobre100,Its good to show the citizens the work that has been done these days very good work  98sobre100,positivo
cien días cien realidades vamos por buen camino. 98sobre100,One hundred days one hundred realities are on the right track  98sobre100,positivo
espero que vaya y conosca la realidad del sector......,I hope you go and know the reality of the sector ,neutral
un compromiso con la ciudad orientado a resultados mediante la gestión y planificación seguridad para nuestros ñutos organización y legalización de comerciantes en los mercados son solo una muestra de estos cien días cien realidades. 98sobre100,A commitment to the city oriented to results through management and planning security for our utos organization and legalization of merchants in the markets are only a sample of these one hundred days one hundred realities  98sobre100,neutral
acompañamos a en,we accompany in,neutral
estimado sr. alcalde mañana antes de la reunión en la ciudadela kenedy solicitamos visitar el sector del "colegio militar de cuenca" está abandonado de obras varios años cuenca cuencaunida,Dear Mr Mayor tomorrow before the meeting in the Citadel Kennedy we ask to visit the sector of the military school of Cuenca is abandoned works several years cuenca cuencaunida,negativo
cuando no hay nada que criticar los que no coinciden con una nueva manera de hacer política siempre criticarán las formas ya que lo fundamental va por buen camino. adelante,When there is nothing to criticize those who do not agree with a new way of doing politics will always criticize the forms since the fundamental is on the right track ahead,positivo
la directora del tranvíacuenca dialoga con sobre la situación actual de este sistema y las acciones que se ejecutan previo al inicio de la operación comercial.,The director of the  tramway dialogues with the current situation of this system and the actions that are executed prior to the start of the commercial operation,neutral
a los 100 días marcha ? celebrando por qué aprendió a tomar biberón cuando queremos que ya estudie la universidad.,at 100 days march celebrating why he learned to drink a bottle when we want him to study college,neutral
sería bueno profundizar en el detalle de las obras por que no se ve mucho en realidad 🤷🏻‍♂️. si están bacheando las vías les recomiendo que se den una vuelta por la paseo milchichig panamericana sur y otras,sera bueno profundizar en el detalle de las obras por que no se ve mucho en realidad  si estn bacheando las vas les recomiendo que se den una vuelta por la paseo milchichig panamericana sur y otras,neutral
dgrinforma👇🏻 reporte diario de rayos ultravioleta 🌤 fecha: 20/08/2019 hora: 08h30 cuida tu piel siguiendo estas recomendaciones acorde al índice de radiación uv que presenta este día.👒🌂 trabajamosenprevención,dgrinforma reporte diario de rayos ultravioleta  fecha 20082019 hora 08h30 cuida tu piel siguiendo estas recomendaciones acorde al ndice de radiacin uv que presenta este da trabajamosenprevencin,neutral
no conduzca su vehículo con llantas en mal estado. evite accidentes y ser sancionado.,Do not drive your vehicle with tires in poor condition Avoid accidents and be sanctioned,negativo
como dice hemos caído en las mismas prácticas. pero ahí quedaron las respuestas que venía dando el sr alcalde hasta que desde cuenta oficial desmienten su versión. ahora tal ves dirán que no estaban de turno pero no son los únicos funcionarios que estuvieron,As he says we have fallen into the same practices but there were the answers that the mayor had been giving until from official account they deny his version Now maybe you will say they were not on duty but they are not the only officials who were,neutral
estimado alcalde pedrito yo aún creo en usted y deseo q sus acciones sigan encaminadas al beneficio de nuestra ciudad. le recuerdo que aún hay funcionarios q no cumplen con su gestión y que deja un mal sabor de boca al caer en las mismas prácticas de la administración anterior,Dear Mayor Pedrito I still believe in you and wish that your actions continue to benefit our city I remind you that there are still officials who do not comply with their management and that leaves a bad taste when they fall into the same practices of the previous administration,negativo
nos respalda por cobro indebidos de la banca?,Do you support us for improper payment of the bank,neutral
dgrtips 👇🏻 ¿estas preparado ante un sismo? 🧐 no olvides recordar lo siguiente: trabajamosenprevención,dgrtips  estas preparado ante un sismo  no olvides recordar lo siguiente trabajamosenprevencin,neutral
acompañamos a  en sistema radial del sur.,We accompany in the southern radial system,neutral
y esto? así le tiene a solo con mentiras y si fueron muchos empleados a respaldarle por miedo de perder el puesto ya no se queje de administraciones anteriores y haga algo por cuenca,and that So he has only lies and if there were many employees to support him for fear of losing his job no longer complain about previous administrations and do something per basin ,positivo
los mercados no ha cambiado nada siguen los mismo problemas y abusos alcoholismo drogas prostitucion no se que cambio hablan.,the markets have not changed anything they follow the same problems and abuses alcoholism drugs prostitution I dont know what change they speak,neutral
buen día. contamos con la presencia de act en diferentes sectores de la ciudad.,good day We have the presence of act in different sectors of the city,positivo
q obras q trabajo 100 días sin hacr nada eso es trabajo ????,What works that works 100 days without doing anything that is work ,neutral
dudo que el nuevo ministro sepa de qué se trata,I doubt that the new minister knows what it is,positivo
miles de ciudadanos marcharon en respaldo a la gestión del . pedro palacios.,thousands of citizens marched in support of the management of the Pedro Palaces,neutral
buen día ¿me puede dar la lista de al menos 5 obras en estos 97 días de mayor a menor?,good day can you give me the list of at least 5 works in these 97 days from highest to lowest,positivo
las vias de tienen tantos baches como venezolanos en los semaforos esperamos ver cambios en lo proximos 100 dias,The roads have as many bumps as Venezuelans in traffic lights we hope to see changes in the next 100 days,positivo
precioso,beautiful,positivo
marcha de respaldo al unida al cumplirse 💯 días de administración. gracias 97sobre100 y esto recién empieza. “💯 días 💯 realidades”,marcha de respaldo al unida al cumplirse  das de administracin gracias 97sobre100 y esto recin empieza  das  realidades,neutral
cuenca: termina la jornada de este lunes en el mundialitodelospobres🏆con el resultado final ⚽️ el vecino 12🥅 ⚽️ fátima 0🥅 elequipoganador,cuenca termina la jornada de este lunes en el mundialitodelospobrescon el resultado final  el vecino 12  ftima 0 elequipoganador,neutral
que lindo que escribe  👍👍 no lo pudo decir mejor 👍👍 atención people d twitter  mejor le planteo cambiar al director de comunicación al gerente de emuvi y al gerente de emov 100 días es su vara  juro lo aplaudiré alcalde,que lindo que escribe   no lo pudo decir mejor  atencin people d twitter  mejor le planteo cambiar al director de comunicacin al gerente de emuvi y al gerente de emov 100 das es su vara  juro lo aplaudir alcalde,neutral
poner órden en los parques personas q salen con su perro sin collar y les sueltan; adultos y corren el riesgo de ser mordidos; el animalito no tiene la culpa culpa tienen dueños q ni se percatan por estar en el celular. cuenca,put order in the parks people who go out with their dog without a collar and release them adults and run the risk of being bitten The animal is not to blame they have owners who are not aware of being on the cell phone basin,negativo
sr. alcalde si ud acude a una "invitación ciudadana" procure que en sus chats internos no se exija a los funcionarios/as a que asistan. si cuenta con un 54% de aceptación como dicen los sondeos no creo que exista la necesidad de hacerlo,Mr Mayor if you go to a citizen invitation ensure that in their internal chats the officials are not required to attend If you have 54 acceptance as polls say I dont think there is a need to do so,neutral
mala la gestión de este rico hombre de la alta sociedad. que no tiene fundamento alguno para sacarlas prioridades de nuestra querida ciudad.,Bad management of this rich man of high society that has no basis to take priorities from our beloved city,positivo
buenas noches pues parece que usted no vió las estadísticas de que pedro palacios no llego ni al 30 % de los votos. pues su ignorancia me solprende al decir que los cuencanos votamos por un sr. conocido por la alta sociedad y desconocido por los de la clase media y pobres.,Good night because it seems that you did not see the statistics that Pedro Palacios did not reach 30 of the votes because his ignorance surprises me by saying that we Cuencans vote for a mr known to high society and unknown to those of the middle class and the poor,positivo
si el alcalde quería mostrar fuerza política con esta marcha... lamentablemente se observó más débil que nunca. no puede decir que hará una política diferente utilizando las mismas armas del pasado armas que tanto ha criticado. 97sobre100,if the mayor wanted to show political strength with this march  unfortunately he was weaker than ever He cannot say that he will make a different policy using the same weapons of the past weapons that he has criticized so much  97over100,negativo
gracias x la info👍🏻👍🏻👍🏻,gracias x la info,neutral
hermoso¡ con el apoyo de y,beautiful with the support of y,positivo
éxitos ing siga con esa ruta de trabajo las cosas se iran dando de buena manera mi abrazo fraterno para ud,successes ing continue with that route of work things will be giving in a good way my fraternal hug for you,positivo
100 días. y se ven cambios importantes. la transparencia en la gestión es uno de los valores que hay que destacar. 97sobre100,100 days and you see important changes Transparency in management is one of the values that must be highlighted  97over100,positivo
la gestión de se mide por resultados la administración municipal de turno tienes obras que día a día se construye por una unida y por el bienestar de nuestras familias sigamos así,the management of is measured by results the municipal administration of turn you have works that day by day is built by a united and for the welfare of our families lets continue like this,neutral
que belleza. gracias antonio por compartir,that beauty Thanks Antonio for sharing,positivo
operativo de control | con tu familia o amigos puedes disfrutar con calma de tus encuentros deportivos favoritos en el mundialito de los pobres ⚽️ nuestro contingente precautela por tu bienestar de manera coordinada y articulada.,control operation  With your family or friends you can calmly enjoy your favorite sporting events in the World Cup of the Poor  our contingent takes care of your wellbeing in a coordinated and articulated way,positivo
ojalá los milenials y centenials tengan la oportunidad de disfrutar de un espectáculo como este,I hope the millennials and centenials have the opportunity to enjoy a show like this,positivo
excelente gestión sr. alcalde eso demuestra la calidad de su gestión en su primeros 100 días queda aún muchos retos por cumplir. cuenta con mi apoyo y respaldo en su gestión,excellent management mr Mayor that demonstrates the quality of his management in his first 100 days there are still many challenges to meet It has my support and support in its management,positivo
cuenca: culmina el segundo encuentro de la noche en este mundialitodelospobres🏆con el siguiente resultado. ⚽️ cdla. une 3🥅 ⚽️ cdla. álvarez 0🥅 elequipoganador,cuenca culmina el segundo encuentro de la noche en este mundialitodelospobrescon el siguiente resultado  cdla une 3  cdla lvarez 0 elequipoganador,neutral
sr alcalde esto es un acto politiquero casi populista respeto lo k usted dice. su administración d 100 días deja k desear ha caído en las viejas mañas. esas propuestas outsider se kedaron en la campaña. su rol como alcalde debe ser otro.,Mr Mayor this is an almost populist political act I respect what you say his administration of 100 days leaves k wishing has fallen into the old tricks Those proposals outsider were kedar in the campaign Your role as mayor must be another,positivo
orgullo de ser cuencano 👍 97sobre100,orgullo de ser cuencano  97sobre100,neutral
mejor fuese que no...con todo respeto.,it was better than not  with all due respect,positivo
que obras ha hecho el señor??,What works has the Lord done,neutral
señor alcalde una década? el tema del tranvía lleva desd el 2014. la "politizacion" partidista d est tema ha hecho k sea una obra botada al olvido. usted como candidato sabía lo k pasaba ahora debe dar respuestas concretas y poner en funcionamiento lo + pronto,Mr Mayor a decade The theme of the tram has been since 2014 Partisan politicization of this theme has made it a work that has been forgotten You as a candidate knew what happened now you must give specific answers and put the  into operation soon,neutral
crónicapolítica san pedro hizo lo suyo ¡no lluvio y tal como se anunció algunos cuencanos salieron a darle apoyo al alcalde de cuenca comerciantes autónomos taxistas entre otros acompañaron desde san blas hasta el parque calderon sin embargo (hilo)..., chroniclepolitics san pedro did his thing no rain and as announced some basins came out to support the mayor of cuenca autonomous merchants taxi drivers among others accompanied from San Blas to Calderon Park however thread ,positivo
97sobre100 no se detiene el trabajo por y sus habitantes, 97sobre100 does not stop work for and its inhabitants,neutral
felicitaciones andres excelente trabajo siga adelante los barrios le esperan,congratulations andres excellent work keep going neighborhoods await you ,positivo
ayer/ cóndores sobre el labrado. video aficionado de bolívar robles guardabosques de en uno de los recorridos de control de la zona de protección y conservación del páramo.,yesterday  condors on the wrought Amateur video of Bolvar Robles ranger on one of the control routes of the protection and conservation area of the moor,negativo
cuenca | con consignas a favor del alcalde pedro palacios una multitud marchó por la democracia. 97sobre100,basin  With slogans in favor of Mayor Pedro Palacios a crowd marched for democracy  97over100,neutral
97sobre100 y el alcalde va por más para para cuenca llena de gente linda amable y cordial., 97sobre100 and the mayor goes for more for basin full of nice friendly and cordial people,positivo
cuál gestión??? veo el caos en la ciudad exactamente como dejó cabrera. y yo cada día estoy por las calles de la ciudad.,which management  I see the chaos in the city exactly as it left cabrera and I am on the streets of the city every day,neutral
trabajamos en acciones preventivas coordinadas con el fin de disuadir la delincuencia recuperar espacios públicos y precautelar la seguridad ciudadana. 97sobre100,We work on coordinated preventive actions in order to deter crime recover public spaces and safeguard citizen security  97over100,neutral
muy bien los operativos de seguridad deben continuar 97sobre100 👏🏻,muy bien los operativos de seguridad deben continuar 97sobre100 ,neutral
en estos primeros 100 días ha dado un giro se vienen grandes cosas para la ciudad. 97sobre100,In these first 100 days it has taken a turn great things are coming for the city  97over100,positivo
en vez de estarse peleando quien es la vicealcaldesa dediquense a trabajar arreglando esa porquería de servicio de internet que brinda etapa hasta cuando gente incompetente y mamarracha en etapa.,instead of fighting who is the vice mayor dedicate yourself to work fixing that crap of internet service that provides stage even when incompetent people and dizzying on stage,negativo
cuencaunida por la seguridad. trabajamos por el bienestar de los cuencanos y cuencanas. cien días cien realidades en todos los ámbitos. 97sobre100,cuencaunida for security We work for the wellbeing of the Cuenca and Cuenca One hundred days one hundred realities in all areas  97over100,neutral
